Category,Element,Source evidence,Current Ecore,Status,Confidence,Action
EAttribute,Artifact.IDVar,P1: Artifact.IDVar : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Artifact.isInitial,P1: Artifact.isInitial : EBoolean = false,EBoolean [0..1]; defaultValueLiteral='false',EXACT,HIGH,Giữ nguyên.
EAttribute,Port.Name,P1: Port.Name : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,ObsProperty.ParamName,P1: ObsProperty.ParamName : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,ObsProperty.Name,P1: ObsProperty.Name : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,ObsProperty.initialValue,P1: ObsProperty.initialValue : UNRESOLVED (bị che),"Không có EAttribute; có EAnnotation urn:reconstruction:unresolved, visibleAttribute=initialValue",UNRESOLVED_FROM_SOURCE,HIGH,Giữ annotation; không gán EType/default; chỉ bổ sung khi có bằng chứng nguồn.
EAttribute,AbsOperation.className,P1: AbsOperation.className : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,AbsOperation.signalExpression,P1: AbsOperation.signalExpression : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,AbsOperation.awaitExpression,P1: AbsOperation.awaitExpression : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,AbsOperation.await_timeExpression,P1: AbsOperation.await_timeExpression : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,AbsOperation.paramName,P1: AbsOperation.paramName : UNRESOLVED (bị che),"Không có EAttribute; có EAnnotation urn:reconstruction:unresolved, visibleAttribute=paramName",UNRESOLVED_FROM_SOURCE,HIGH,Giữ annotation; không gán EType/default; chỉ bổ sung khi có bằng chứng nguồn.
EAttribute,Organisation.id,P1: Organisation.id : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Norm.type,P1: Norm.type : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Norm.timeConstraint,P1: Norm.timeConstraint : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Group.Name,P1: Group.Name : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Group.min,P1: Group.min : EInt,EInt [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Group.max,P1: Group.max : EInt,EInt [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Role.Name,P1: Role.Name : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Role.min,P1: Role.min : EInt,EInt [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Role.max,P1: Role.max : EInt,EInt [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Scheme.PlanOperator,P1: Scheme.PlanOperator : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,FormationConstraints.Name,P1: FormationConstraints.Name : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,FormationConstraints.biDir,P1: FormationConstraints.biDir : EBoolean = false,EBoolean [0..1]; defaultValueLiteral='false',EXACT,HIGH,Giữ nguyên.
EAttribute,FormationConstraints.scope,P1: FormationConstraints.scope : EString = intra-group,EString [0..1]; defaultValueLiteral='intra-group',EXACT,HIGH,Giữ nguyên.
EAttribute,FormationConstraints.type,P1: FormationConstraints.type : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,FormationConstraints.to,P1: FormationConstraints.to : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,FormationConstraints.from,P1: FormationConstraints.from : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Link.type,P1: Link.type : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Link.biDir,P1: Link.biDir : EBoolean = false,EBoolean [0..1]; defaultValueLiteral='false',EXACT,HIGH,Giữ nguyên.
EAttribute,Link.scope,P1: Link.scope : EString = intra-group,EString [0..1]; defaultValueLiteral='intra-group',EXACT,HIGH,Giữ nguyên.
EAttribute,Link.from,P1: Link.from : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Link.to,P1: Link.to : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Mission.max,P1: Mission.max : EInt,EInt [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Mission.min,P1: Mission.min : EInt,EInt [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,OPlan.Sequence,P1: OPlan.Sequence : EBoolean = false,EBoolean [0..1]; defaultValueLiteral='false',EXACT,HIGH,Giữ nguyên.
EAttribute,OPlan.Parallel,P1: OPlan.Parallel : EBoolean = false,EBoolean [0..1]; defaultValueLiteral='false',EXACT,HIGH,Giữ nguyên.
EAttribute,OGoal.Name,P1: OGoal.Name : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,OGoal.isRootGoal,P1: OGoal.isRootGoal : EBoolean = false,EBoolean [0..1]; defaultValueLiteral='false',EXACT,HIGH,Giữ nguyên.
EAttribute,Belief.Name,P1: Belief.Name : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Belief.isInitial,P1: Belief.isInitial : EBoolean = false,EBoolean [0..1]; defaultValueLiteral='false',EXACT,HIGH,Giữ nguyên.
EAttribute,Rule.Expression,P1: Rule.Expression : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Goal.Name,P1: Goal.Name : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Plan.Name,P1: Plan.Name : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Plan.asBeliefAddition,P1: Plan.asBeliefAddition : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Plan.asQuery,P1: Plan.asQuery : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Plan.isAtomic,P1: Plan.isAtomic : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Plan.atomicLabel,P1: Plan.atomicLabel : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Plan.argID,P1: Plan.argID : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Plan.isInitial,P1: Plan.isInitial : EBoolean = false,EBoolean [0..1]; defaultValueLiteral='false',EXACT,HIGH,Giữ nguyên.
EAttribute,Body.Name,P1: Body.Name : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Context.Expression,P1: Context.Expression : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Action.Name,P1: Action.Name : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Action.Expression,P1: Action.Expression : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,TriggeringEvent.isSeparateIntention,P1: TriggeringEvent.isSeparateIntention : EBoolean = false,EBoolean [0..1]; defaultValueLiteral='false',EXACT,HIGH,Giữ nguyên.
EAttribute,TriggeringEvent.isInitial,P1: TriggeringEvent.isInitial : EBoolean = false,EBoolean [0..1]; defaultValueLiteral='false',EXACT,HIGH,Giữ nguyên.
EAttribute,TriggeringEvent.ttf,P1: TriggeringEvent.ttf : EInt,EInt [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,TriggeringEvent.ds,P1: TriggeringEvent.ds : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,TriggeringEvent.deletion,P1: TriggeringEvent.deletion : EBoolean = false,EBoolean [0..1]; defaultValueLiteral='false',EXACT,HIGH,Giữ nguyên.
EAttribute,TriggeringEvent.addAndDel,P1: TriggeringEvent.addAndDel : UNRESOLVED (bị che),"Không có EAttribute; có EAnnotation urn:reconstruction:unresolved, visibleAttribute=addAndDel",UNRESOLVED_FROM_SOURCE,HIGH,Giữ annotation; không gán EType/default; chỉ bổ sung khi có bằng chứng nguồn.
EAttribute,Message.content,P1: Message.content : EString,EString [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EAttribute,Message.isBroadcast,P1: Message.isBroadcast : EBoolean,EBoolean [0..1]; defaultValueLiteral=null (không có literal tường minh),EXACT,HIGH,Giữ nguyên.
EReference,MAS.agent,P1: MAS.agent -> Agent [1..*]; containment=true; diamond đen tại source,MAS.agent -> Agent [1..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,MAS.workspace,P1: MAS.workspace -> Workspace [0..*]; containment=true; diamond đen tại source,MAS.workspace -> Workspace [0..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,MAS.organisation,P1: MAS.organisation -> Organisation [0..*]; containment=true; diamond đen tại source,MAS.organisation -> Organisation [0..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Agent.belief,P1: Agent.belief -> Belief [0..*]; containment=true; diamond đen tại source,Agent.belief -> Belief [0..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Agent.rule,P1: Agent.rule -> Rule [0..*]; containment=true; diamond đen tại source,Agent.rule -> Rule [0..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Agent.hasGoal,P1: Agent.hasGoal -> Goal [0..*]; containment=true; diamond đen tại source,Agent.hasGoal -> Goal [0..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Agent.plan,P1: Agent.plan -> Plan [0..*]; containment=true; diamond đen tại source,Agent.plan -> Plan [0..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Agent.joinWorkspace,P1: Agent.joinWorkspace -> Workspace [0..*]; containment=false; không có diamond tại source,Agent.joinWorkspace -> Workspace [0..*]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Agent.artifact,P1: Agent.artifact -> Artifact [0..*]; containment=false; không có diamond tại source,Agent.artifact -> Artifact [0..*]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Organisation.normativespecification,P1: Organisation.normativespecification -> NormativeSpecification [1..1]; containment=true; diamond đen tại source,Organisation.normativespecification -> NormativeSpecification [1..1]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Organisation.structuralspecification,P1: Organisation.structuralspecification -> StructuralSpecification [1..1]; containment=true; diamond đen tại source,Organisation.structuralspecification -> StructuralSpecification [1..1]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Organisation.functionalspecification,P1: Organisation.functionalspecification -> FunctionalSpecification [1..1]; containment=true; diamond đen tại source,Organisation.functionalspecification -> FunctionalSpecification [1..1]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Organisation.deploysAgent,P1: Organisation.deploysAgent -> Agent [1..*]; containment=false; không có diamond tại source,Organisation.deploysAgent -> Agent [1..*]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,NormativeSpecification.norm,P1: NormativeSpecification.norm -> Norm [0..*]; containment=true; diamond đen tại source,NormativeSpecification.norm -> Norm [0..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,StructuralSpecification.group,P1: StructuralSpecification.group -> Group [0..*]; containment=true; diamond đen tại source,StructuralSpecification.group -> Group [0..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,StructuralSpecification.role,P1: StructuralSpecification.role -> Role [0..*]; containment=true; diamond đen tại source,StructuralSpecification.role -> Role [0..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,FunctionalSpecification.scheme,P1: FunctionalSpecification.scheme -> Scheme [0..*]; containment=true; diamond đen tại source,FunctionalSpecification.scheme -> Scheme [0..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Norm.Nrole,P1: Norm.Nrole -> Role [1..1]; containment=false; không có diamond tại source,Norm.Nrole -> Role [1..1]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Norm.NMission,P1: Norm.NMission -> Mission [1..1]; containment=false; không có diamond tại source,Norm.NMission -> Mission [1..1]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Group.hasSubGroups,P1: Group.hasSubGroups -> Group [0..*]; containment=false; không có diamond tại source,Group.hasSubGroups -> Group [0..*]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Group.RefRole,P1: Group.RefRole -> Role [1..*]; containment=false; không có diamond tại source,Group.RefRole -> Role [1..*]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Group.formationconstraints,P1: Group.formationconstraints -> FormationConstraints [0..*]; containment=true; diamond đen tại source,Group.formationconstraints -> FormationConstraints [0..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Group.link,P1: Group.link -> Link [0..*]; containment=true; diamond đen tại source,Group.link -> Link [0..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Role.Extendsrole,P1: Role.Extendsrole -> Role [0..1]; containment=false; không có diamond tại source,Role.Extendsrole -> Role [0..1]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Role.players,P1: Role.players -> Agent [0..*]; containment=false; không có diamond tại source,Role.players -> Agent [0..*]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Scheme.SchemeOPlan,P1: Scheme.SchemeOPlan -> OPlan [0..*]; containment=true; diamond đen tại source,Scheme.SchemeOPlan -> OPlan [0..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Scheme.SchemeOgoal,P1: Scheme.SchemeOgoal -> OGoal [1..*]; containment=true; diamond đen tại source,Scheme.SchemeOgoal -> OGoal [1..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Scheme.mission,P1: Scheme.mission -> Mission [1..*]; containment=true; diamond đen tại source,Scheme.mission -> Mission [1..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Scheme.Splan,P1: Scheme.Splan -> TriggeringEvent [0..*]; containment=false; không có diamond tại source,Scheme.Splan -> TriggeringEvent [0..*]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Mission.ogoal,P1: Mission.ogoal -> OGoal [1..*]; containment=false; không có diamond tại source,Mission.ogoal -> OGoal [1..*]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Mission.Mplan,P1: Mission.Mplan -> TriggeringEvent [0..*]; containment=false; không có diamond tại source,Mission.Mplan -> TriggeringEvent [0..*]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,OPlan.FirstOgoal,P1: OPlan.FirstOgoal -> OGoal [1..1]; containment=false; không có diamond tại source,OPlan.FirstOgoal -> OGoal [1..1]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,OPlan.Splan,P1: OPlan.Splan -> TriggeringEvent [0..*]; containment=false; không có diamond tại source,OPlan.Splan -> TriggeringEvent [0..*]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,OGoal.NextOgoal,P1: OGoal.NextOgoal -> OGoal [0..1]; containment=false; không có diamond tại source,OGoal.NextOgoal -> OGoal [0..1]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,OGoal.OGoalToOPlan,P1: OGoal.OGoalToOPlan -> OPlan [0..1]; containment=false; không có diamond tại source,OGoal.OGoalToOPlan -> OPlan [0..1]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,OGoal.OGoalToGoal,P1: OGoal.OGoalToGoal -> Goal [0..1]; containment=false; không có diamond tại source,OGoal.OGoalToGoal -> Goal [0..1]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,TriggeringEvent.planoperator,P1: TriggeringEvent.planoperator -> OPlan [0..1]; containment=false; không có diamond tại source,TriggeringEvent.planoperator -> OPlan [0..1]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,TriggeringEvent.triggersPlan,P1: TriggeringEvent.triggersPlan -> Plan [1..1]; containment=false; không có diamond tại source,TriggeringEvent.triggersPlan -> Plan [1..1]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Belief.triggeredBy,P1: Belief.triggeredBy -> TriggeringEvent [1..1]; containment=false; không có diamond tại source,Belief.triggeredBy -> TriggeringEvent [1..1]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Goal.triggeredBy,P1: Goal.triggeredBy -> TriggeringEvent [1..*]; containment=false; không có diamond tại source,Goal.triggeredBy -> TriggeringEvent [1..*]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Workspace.artifact,P1: Workspace.artifact -> Artifact [0..*]; containment=true; diamond đen tại source,Workspace.artifact -> Artifact [0..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Workspace.hasSubworkspace,P1: Workspace.hasSubworkspace -> Workspace [0..*]; containment=false; không có diamond tại source,Workspace.hasSubworkspace -> Workspace [0..*]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Artifact.port,P1: Artifact.port -> Port [0..*]; containment=true; diamond đen tại source,Artifact.port -> Port [0..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Artifact.obsproperty,P1: Artifact.obsproperty -> ObsProperty [0..*]; containment=true; diamond đen tại source,Artifact.obsproperty -> ObsProperty [0..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Artifact.operation,P1: Artifact.operation -> AbsOperation [0..*]; containment=true; diamond đen tại source,Artifact.operation -> AbsOperation [0..*]; containment=true; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Port.linkArtifacts,P1: Port.linkArtifacts -> Artifact [0..*]; containment=false; không có diamond tại source,Port.linkArtifacts -> Artifact [0..*]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,ObsProperty.obsproperty,P1: ObsProperty.obsproperty -> Belief [0..*]; containment=false; không có diamond tại source,ObsProperty.obsproperty -> Belief [0..*]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,AbsOperation.RefObsproperty,P1: AbsOperation.RefObsproperty -> ObsProperty [0..*]; containment=false; không có diamond tại source,AbsOperation.RefObsproperty -> ObsProperty [0..*]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Operation.guardedBy,P1: Operation.guardedBy -> GuardOperation [0..1]; containment=false; không có diamond tại source,Operation.guardedBy -> GuardOperation [0..1]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
EReference,Operation.callsInternal,P1: Operation.callsInternal -> InternalOperation [0..1]; containment=false; không có diamond tại source,Operation.callsInternal -> InternalOperation [0..1]; containment=false; eOpposite=null,EXACT,HIGH,Giữ nguyên.
